"","latitude","longitude","tot.catch"
"1",40.55,-71.55,0
"2",40.46667,-71.51667,0
"3",40.51667,-71.71667,0
"4",40.38333,-71.85,1
"5",40.31667,-71.78333,0
"6",40.26667,-71.88333,0
"7",40.13333,-72.08333,2
"8",40.06667,-72.16667,0
"9",40.1,-72.31667,7
"10",40.01667,-72.4,13
"11",39.9,-72.56667,530
"12",39.81667,-72.48333,2750
"13",39.85,-72.58333,2060
"14",39.81667,-72.68333,1016
"15",39.76667,-72.73333,1206
"16",39.68333,-72.61667,30
"17",39.58333,-72.65,110
"18",39.5,-72.53333,0
"19",39.43333,-72.63333,0
"20",39.46667,-72.66667,722
"21",39.43333,-72.73333,41
"22",39.4,-72.8,39
"23",39.31667,-72.73333,0
"24",39.33333,-72.85,94
"25",39.26667,-72.81667,7
"26",39.21667,-72.78333,0
"27",38.96667,-72.98333,0
"28",38.86667,-73.18333,33
"29",38.76667,-73.18333,0
"30",38.65,-73.25,0
"31",38.6,-73.38333,1
"32",38.68333,-73.61667,344
"33",38.65,-73.53333,942
"34",38.73333,-73.51667,758
"35",38.76667,-73.6,83
"36",38.81667,-73.7,60
"37",38.93333,-73.51667,27
"38",38.88333,-73.43333,119
"39",38.85,-73.35,482
"40",38.93333,-73.28333,151
"41",39.01667,-73.48333,20
"42",39.15,-73.55,16
"43",39.13333,-73.45,26
"44",39.23333,-73.31667,18
"45",39.3,-73.31667,30
"46",39.33333,-73.21667,55
"47",39.21667,-73.13333,86
"48",39.13333,-73.15,1336
"49",39.1,-73.18333,239
"50",39.01667,-73.15,459
"51",39.06667,-73.08333,229
"52",39.18333,-73.1,105
"53",39.28333,-72.98333,557
"54",39.31667,-72.93333,5056
"55",39.38333,-72.91667,2500
"56",39.38333,-73.11667,264
"57",39.51667,-73.11667,10
"58",39.51667,-73.15,8
"59",39.65,-73.06667,28
"60",39.65,-72.98333,46
"61",39.55,-72.96667,370
"62",39.6,-72.88333,316
"63",39.51667,-72.88333,970
"64",39.48333,-72.85,476
"65",39.5,-72.73333,7084
"66",39.55,-72.8,3246
"67",39.63333,-72.76667,322
"68",39.71667,-72.85,0
"69",39.8,-72.95,0
"70",39.71667,-73,16
"71",39.71667,-73.05,17
"72",39.76667,-73.11667,15
"73",39.81667,-73.06667,17
"74",39.88333,-73.25,41
"75",39.93333,-73.28333,4
"76",39.9,-73.35,139
"77",39.98333,-73.35,0
"78",40.01667,-73.28333,5
"79",40.03333,-73.36667,3
"80",40,-73.45,21
"81",40.05,-73.48333,0
"82",40.11667,-73.56667,14
"83",40.15,-73.55,4
"84",40.13333,-73.61667,0
"85",40.16667,-73.66667,1
"86",40.21667,-73.55,0
"87",40.15,-73.28333,9
"88",39.98333,-73.05,13
"89",39.9,-73.11667,3
"90",39.85,-72.98333,3
"91",39.9,-72.91667,114
"92",39.85,-72.78333,471
"93",39.98333,-72.58333,842
"94",39.98333,-72.75,326
"95",39.98333,-72.81667,52
"96",40.1,-72.91667,22
"97",40.18333,-72.85,21
"98",40.1,-72.81667,26
"99",40.06667,-72.51667,91
"100",40.15,-72.55,70
"101",40.18333,-72.45,35
"102",40.21667,-72.51667,42
"103",40.23333,-72.68333,42
"104",40.31667,-72.61667,20
"105",40.4,-72.68333,17
"106",40.51667,-72.68333,25
"107",40.55,-72.48333,19
"108",40.45,-72.53333,20
"109",40.46667,-72.46667,41
"110",40.4,-72.41667,46
"111",40.31667,-72.43333,30
"112",40.31667,-72.35,21
"113",40.23333,-72.35,37
"114",40.18333,-72.3,290
"115",40.23333,-72.18333,207
"116",40.91667,-71.76667,297
"117",40.86667,-71.8,46
"118",40.86667,-71.85,23
"119",40.9,-71.95,1
"120",40.85,-72.06667,9
"121",40.81667,-72.18333,20
"122",40.81667,-72.3,0
"123",40.81667,-72.38333,0
"124",40.78333,-72.35,33
"125",40.66667,-72.38333,28
"126",40.58333,-72.38333,159
"127",40.61667,-72.31667,62
"128",40.56667,-72.25,76
"129",40.56667,-72.18333,106
"130",40.53333,-72.18333,71
"131",40.5,-72.31667,50
"132",40.43333,-72.28333,68
"133",40.35,-72.25,24
"134",40.31667,-72.15,26
"135",40.36667,-72.1,11
"136",40.45,-71.96667,3
"137",40.56667,-71.98333,26
"138",40.6,-72.01667,34
"139",40.6,-72.13333,75
"140",40.65,-72.16667,143
"141",40.65,-72.08333,62
"142",40.7,-72.05,31
"143",40.73333,-72.05,230
"144",40.71667,-71.98333,8
"145",40.66667,-71.83333,114
"146",40.73333,-71.88333,8
"147",40.76667,-71.91667,8
"148",40.75,-71.83333,38
